,com
931,56032
932,27378
933,62498
934,5065
935,6038
936,26058
937,76681
938,51583
939,98738
940,29259
941,88361
942,37225
943,78646
944,95585
945,85175
946,34023
947,69088
948,75101
949,2063
950,16146
951,2408
952,21640
953,29195
954,49248
955,88321
956,9312
957,77308
958,72337
959,70428
960,6095
961,76217
962,51662
963,202049
964,34172
965,63178
966,77091
967,92009
968,93057
969,37003
970,77251
971,59508
972,78490
973,94069
974,19007
975,80182
976,47051
977,87050
978,88175
979,8468
980,33085
981,19031
982,83121
983,28071
984,44026
985,97418
986,33316
987,2013
988,13045
989,79202
990,13214
991,32296
992,79007
993,64010
994,78531
995,50532
996,2665
997,67218
998,67519
999,78096
1000,93073
1001,55351
1002,47050
1003,45169
1004,31547
1005,59560
1006,68224
1007,29026
1008,13110
1009,54526
1010,33155
1011,59368
1012,21054
1013,59578
1014,56083
1015,67388
1016,27229
1017,81004
1018,11431
1019,28108
1020,17200
1021,98827
1022,59046
1023,29225
1024,6080
1025,74305
1026,44097
1027,54212
1028,13216
1029,70433
1030,27587
1031,38304
1032,8367
1033,92063
1034,16272
1035,35317
1036,9019
1037,17359
1038,91179
1039,52288
1040,43071
1041,46034
1042,59271
1043,60319
1044,97119
1045,83061
1046,47214
1047,25218
1048,86213
1049,83144
1050,83059
1051,68066
1052,91549
1053,61040
1054,64475
1055,69149
1056,67049
1057,54208
1058,91114
1059,78346
1060,89167
1061,77485
1062,92033
1063,1196
1064,42208
1065,29175
1066,17225
1067,72195
1068,4112
1069,62205
1070,38527
1071,43234
1072,94044
1073,77269
1074,12208
1075,37195
1076,34255
1077,63200
1078,64493
1079,54495
1080,43137
1081,14341
1082,57596
1083,36033
1084,39510
1085,51391
1086,7348
1087,76296
1088,95394
1089,9282
1090,91200
1091,33069
1092,78498
1093,67447
1094,38140
1095,50129
1096,30319
1097,59090
1098,95028
1099,61424
1100,73191
1101,42226
1102,18279
1103,34151
1104,69255
1105,15165
1106,78545
1107,38314
1108,45068
1109,1034
1110,77039
1111,16089
1112,19154
1113,14271
